abate: 1
abide: 4
abiure: 1
able: 2
abound: 1
about: 7
abridgement: 1
absence: 1
abus: 1
accent: 1
accidents: 1
accompany: 1
according: 3
ace: 2
acheron: 1
acorne: 2
acquaintance: 3
act: 1
action: 2
actor: 1
actors: 4
actus: 5
adamant: 1
adder: 3
addresse: 1
addrest: 1
adieu: 5
admirable: 1
admiring: 1
aduance: 1
aduantage: 1
aduis: 1
afear: 1
afeard: 1
affaire: 1
affaires: 1
affection: 2
affright: 1
afraid: 2
after: 4
againe: 14
against: 6
age: 1
aggrauate: 1
aie: 1
aime: 1
aire: 3
airie: 1
alacke: 4
ale: 1
all: 91
almanack: 1
almost: 2
alone: 6
along: 1
aloofe: 1
alreadie: 1
already: 2
altar: 1
alter: 2
although: 1
alwaies: 1
amazed: 1
amazedly: 1
amazon: 1
amen: 2
amend: 2
amends: 2
amiable: 1
amisse: 1
amity: 1
among: 2
amorous: 1
ancient: 2
and: 562
angell: 1
anger: 1
angry: 2
anguish: 1
annoint: 1
anon: 5
another: 9
anothers: 2
answer: 2
answere: 4
answered: 1
answers: 1
anticke: 1
antiopa: 1
antipodes: 1
any: 9
apace: 1
ape: 1
apollo: 1
apparell: 2
appeare: 5
appeares: 2
apple: 1
apply: 1
appointed: 1
apprehend: 2
apprehension: 1
approach: 4
approch: 1
approue: 1
apricocks: 1
apt: 1
archery: 1
are: 66
argument: 1
ariadne: 1
aright: 1
arise: 2
arm: 1
arme: 1
arms: 1
arrow: 2
art: 16
artificiall: 1
aside: 2
ask: 1
aske: 2
asleepe: 6
asse: 8
asses: 2
assurance: 1
assure: 2
astray: 1
asunder: 1
athenian: 14
athenians: 2
athens: 20
attain: 1
attend: 2
attendant: 1
attractiue: 1
audacious: 1
audience: 1
auditor: 1
aunt: 2
auouch: 1
auroras: 1
austerity: 1
autumne: 1
awa: 1
awak: 1
awake: 6
awaking: 1
away: 23
aye: 3
ayre: 1
bachanals: 1
backe: 10
badge: 1
bag: 3
bags: 1
baite: 1
ballance: 1
ballet: 1
bals: 1
band: 1
banke: 2
bankrout: 1
barbers: 1
bare: 2
